date,pre_close,open,high,low,close,volume,amt,pct_chg
2019/11/8,3991.8749,4017.6742,4022.0362,3971.5726,3973.0107,9710694800,1.39027E+11,-0.4726
2019/11/11,3973.0107,3948.6186,3948.6186,3897.5504,3902.9783,9415562100,1.3033E+11,-1.7627
2019/11/12,3902.9783,3905.9584,3914.8821,3877.7397,3903.6888,7654306900,1.08828E+11,0.0182
2019/11/13,3903.6888,3905.2831,3908.4196,3882.4314,3899.9815,7674907800,1.12057E+11,-0.095
2019/11/14,3899.9815,3905.9284,3916.9459,3895.1415,3905.857,8700844600,1.19792E+11,0.1507
2019/11/15,3905.857,3908.4891,3915.1049,3877.0892,3877.0892,8373091700,1.15423E+11,-0.7365
2019/11/18,3877.0892,3874.4405,3913.1029,3868.3166,3907.9291,7664599300,1.07086E+11,0.7954
2019/11/19,3907.9291,3904.0996,3947.0392,3902.3776,3947.0392,8216102500,1.23227E+11,1.0008
2019/11/20,3947.0392,3940.1344,3943.2273,3901.9865,3907.8641,7681533300,1.18003E+11,-0.9925
2019/11/21,3907.8641,3894.539,3901.8262,3875.9682,3889.598,6913053800,1.04148E+11,-0.4674
2019/11/22,3889.598,3894.1742,3918.8385,3833.5033,3849.9948,9104263900,1.46981E+11,-1.0182
2019/11/25,3849.9948,3850.966,3878.2507,3839.4201,3878.2061,10606628900,1.40851E+11,0.7328
2019/11/26,3878.2061,3893.4349,3899.1097,3869.5948,3891.6533,11151353700,1.40214E+11,0.3467
2019/11/27,3891.6533,3883.429,3889.9783,3862.7011,3875.6186,7643730500,1.07239E+11,-0.412
2019/11/28,3875.6186,3877.9012,3887.6903,3852.0105,3862.3029,6523011900,87081788912,-0.3436
2019/11/29,3862.3029,3857.1883,3861.6584,3804.8291,3828.6706,7414433100,1.16201E+11,-0.8708
2019/12/2,3828.6706,3835.5128,3854.7509,3829.3126,3836.0589,7741217300,1.09993E+11,0.193
2019/12/3,3836.0589,3829.212,3851.1205,3811.6281,3851.0873,7361124000,1.08704E+11,0.3918
2019/12/4,3851.0873,3841.6627,3852.9922,3831.0747,3849.819,7968338500,1.09646E+11,-0.0329
2019/12/5,3849.819,3863.6086,3883.4031,3859.8223,3879.3638,8905119300,1.29358E+11,0.7674
2019/12/6,3879.3638,3885.0582,3902.3853,3878.7002,3902.3853,7864888700,1.16425E+11,0.5934
2019/12/9,3902.3853,3909.5297,3911.9682,3885.2507,3895.4468,9535380600,1.30873E+11,-0.1778
2019/12/10,3895.4468,3886.444,3900.959,3882.0877,3900.3843,8626292800,1.21118E+11,0.1268
2019/12/11,3900.3843,3907.1592,3909.3854,3890.341,3902.7492,9976548000,1.2769E+11,0.0606
2019/12/12,3902.7492,3908.4537,3908.4537,3886.1188,3891.0242,8470833000,1.17874E+11,-0.3004
2019/12/13,3891.0242,3928.0044,3969.4568,3925.2757,3968.2211,14857134900,2.01019E+11,1.984
2019/12/16,3968.2211,3970.7092,3987.5866,3953.5126,3987.5464,14848667000,2.02155E+11,0.487
2019/12/17,3987.5464,3987.7426,4067.1355,3984.5193,4041.7996,20116293700,2.51638E+11,1.3606
2019/12/18,4041.7996,4039.724,4057.64,4025.3433,4032.7826,15135176400,1.9762E+11,-0.2231
2019/12/19,4032.7826,4034.6159,4038.5435,4014.8951,4027.1495,11790055800,1.52554E+11,-0.1397
2019/12/20,4027.1495,4032.1519,4046.7261,4014.9296,4017.2527,12126766200,1.5846E+11,-0.2458
